uid,Session,AppID,DevID,DevEui,Time,FPort,FCnt,Frequency,Modulation,Bandwidth,SpreadingFactor,Bitrate,CodingRate,GatewayId,GatewayEui,AntennaIndex,GatewayTime,GatewayTimestamp,FineTimestamp,FineTimestampEncrypted,FineTimestampEncryptedKeyId,ChannelIndex,Rssi,SignalRssi,Snr,GatewayLatitude,GatewayLongitude,GatewayAltitude,GatewayLocationAccuracy,GatewayLocationSource,Latitude,Longitude,Altitude,AccuracyMeters,Satellites,Hdop,AccuracySource,Experiment,UserId,UserAgent,
811,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214634987000000,1,20,922000000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214634661000000,3150157459,null,null,null,3,-102,null,7,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.9,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
812,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214655384000000,1,23,922200000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214655044000000,3170540731,null,null,null,4,-102,null,7.3,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.9,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
813,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214661542000000,1,24,922400000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214661214000000,3176710948,null,null,null,5,-98,null,9,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.9,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
814,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214661542000000,1,24,922400000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800214000000,616942860,null,W0JANTg5ZTAyOA==
,0,5,-101,-107,-5,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-4.52012,4.9,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
815,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214667715000000,1,25,922600000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214667384000000,3182881332,null,null,null,6,-97,null,7.5,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-5.7,13.059,null,null,network,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
816,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214667715000000,1,25,922600000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800384000000,623113236,null,W0JANGYwZDE0MQ==
,0,6,-101,-111,-9,16.1184,108.274,812,0,SOURCE_REGISTRY,16.0686,108.225,-5.7,13.059,null,null,network,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
817,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214688103000000,1,28,922000000,LORA,125000,7,null,4/5,danangdrt,null,0,1658214687771000000,3203267387,null,null,null,3,-90,null,9,16.0573,108.229,17,0,SOURCE_REGISTRY,16.0686,108.225,-1.21607,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
818,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214688103000000,1,28,922000000,LORA,125000,7,null,4/5,7276ff002e06029f,null,0,1658214686771000000,1659204388,380840877,W0JAMzkxMTZlNg==
,0,7,-98,-102,-1,16.0755,108.223,90,0,SOURCE_REGISTRY,16.0686,108.225,-1.21607,4.7,null,null,gps,DUTtest04072022,597ef83a-7b4e-422a-9019-0be164bdb6db,
819,2022-07-19T07:05:05Z,watermeasurement,endnode2,70B3D57ED00504B1,1658214688103000000,1,28,922000000,LORA,125000,7,null,4/5,7276ff002e0507da,null,0,315964800771000000,643499283,785400296,W0JANWE1MDQyNw==
